frame_idx,FirstFrame_sim,EndFrame_sim
10,-0.0217,0.0472
11,-0.0090,0.0517
12,-0.0321,0.0367
13,-0.1457,-0.1636
0,0.6666,1.0047
1,0.6603,0.9550
2,0.5605,0.8638
3,0.6349,0.9359
4,0.5710,0.8843
5,0.7061,1.0333
6,0.5644,0.8885
7,0.7016,1.0237
8,0.5816,0.9117
9,0.6301,0.9403
10,0.5612,0.8700
11,0.7148,1.0532
12,0.6332,0.9794
13,0.6138,0.8926
0,0.3048,0.5791
1,0.1537,0.4412
2,0.1901,0.4315
3,0.1752,0.4511
4,0.1866,0.4169
5,0.1838,0.4585
6,0.1788,0.3836
7,0.1815,0.4446
8,0.1931,0.3856
9,0.1995,0.4423
10,0.1884,0.4038
11,0.1655,0.4115
12,0.2269,0.4258
13,0.2337,0.4807
0,0.2263,0.5121
1,0.1326,0.4051
2,0.1807,0.4740
3,0.1506,0.4228
4,0.1536,0.4459
5,0.1489,0.4189
6,0.1765,0.4660
7,0.1556,0.4233
8,0.1986,0.4898
9,0.1620,0.4222
10,0.1843,0.4632
11,0.1697,0.4369
12,0.2485,0.5484
13,0.2335,0.4814
0,0.1170,0.2399
1,0.1669,0.2996
2,0.1635,0.2921
3,0.1629,0.2961
4,0.1600,0.2906
5,0.1465,0.2821
6,0.1516,0.2819
7,0.1528,0.2920
8,0.1413,0.2716
9,0.1397,0.2777
10,0.1534,0.2869
11,0.1396,0.2841
12,0.1381,0.2703
13,0.1395,0.2808
0,0.0964,0.2047
1,0.0986,0.2281
2,0.0712,0.1853
3,0.0772,0.2002
4,0.0732,0.1902
5,0.0960,0.2203
6,0.0725,0.1875
7,0.1026,0.2283
8,0.0762,0.1852
9,0.0806,0.2087
10,0.0777,0.1950
11,0.0889,0.2272
12,0.0804,0.2026
13,0.0932,0.2294
0,0.0733,0.1270
1,0.0747,0.1522
2,0.0879,0.1615
3,0.0872,0.1612
4,0.0838,0.1455
5,0.0880,0.1651
6,0.0794,0.1429
7,0.0878,0.1669
8,0.0973,0.1620
9,0.0836,0.1564
10,0.0873,0.1511
11,0.0878,0.1671
12,0.1131,0.1782
13,0.0898,0.1478
0,0.2609,0.3661
1,0.3135,0.4244
2,0.3017,0.4094
3,0.3042,0.4132
4,0.3001,0.4093
5,0.3094,0.4195
6,0.3065,0.4158
7,0.3071,0.4233
8,0.3059,0.4134
9,0.3019,0.4100
10,0.2999,0.4060
11,0.3074,0.4134
12,0.3031,0.4070
13,0.2829,0.3858
0,0.2711,0.3796
1,0.3005,0.4060
2,0.2965,0.4025
3,0.3038,0.4135
4,0.3036,0.4116
5,0.3095,0.4198
6,0.3103,0.4187
7,0.3162,0.4266
8,0.3118,0.4207
9,0.3146,0.4258
10,0.3113,0.4215
11,0.3127,0.4232
12,0.3041,0.4153
13,0.2682,0.3779
0,0.2792,0.3386
1,0.4369,0.4840
2,0.4452,0.4919
3,0.4502,0.4968
4,0.4532,0.4992
5,0.4570,0.5029
6,0.4585,0.5046
7,0.4546,0.5006
8,0.4615,0.5081
9,0.4558,0.5030
10,0.4556,0.5045
11,0.4554,0.5046
12,0.4471,0.4942
13,0.2888,0.3488
0,0.2256,0.2938
1,0.2051,0.2745
2,0.1905,0.2615
3,0.1795,0.2476
4,0.1784,0.2395
5,0.1789,0.2405
6,0.1817,0.2441
7,0.1747,0.2346
8,0.1766,0.2333
9,0.1787,0.2367
10,0.1761,0.2315
11,0.1762,0.2294
12,0.1888,0.2435
13,0.2220,0.2862
0,0.2308,0.3630
1,0.2883,0.5167
2,0.2857,0.5333
3,0.2953,0.5491
4,0.2901,0.5426
5,0.2958,0.5519
6,0.3024,0.5592
7,0.3061,0.5648
8,0.3109,0.5699
9,0.3156,0.5799
10,0.3162,0.5785
11,0.3137,0.5745
12,0.3156,0.5727
13,0.2987,0.4755
0,0.2676,0.4674
1,0.3006,0.4920
