frame_idx,FirstFrame_sim,EndFrame_sim
1,0.4843,0.3806
2,0.4968,0.3772
3,0.5004,0.3811
4,0.4836,0.3622
5,0.5107,0.3921
6,0.4984,0.3698
7,0.5012,0.3865
8,0.4988,0.3667
9,0.5068,0.3805
10,0.4973,0.3718
11,0.5170,0.3913
12,0.4941,0.3725
13,0.5112,0.3884
0,0.2846,0.2380
1,0.3389,0.2971
2,0.3819,0.3345
3,0.3675,0.3239
4,0.4023,0.3486
5,0.3832,0.3393
6,0.4048,0.3490
7,0.3843,0.3407
8,0.4046,0.3480
9,0.3723,0.3234
10,0.3671,0.3132
11,0.3590,0.3130
12,0.3787,0.3166
13,0.2986,0.2563
0,0.3392,0.2069
1,0.3808,0.2320
2,0.3734,0.2271
3,0.3705,0.2197
4,0.3654,0.2143
5,0.3836,0.2266
6,0.3627,0.2140
7,0.3801,0.2222
8,0.3561,0.2080
9,0.3586,0.2056
10,0.3520,0.1996
11,0.3653,0.2106
12,0.3521,0.2028
13,0.3350,0.1813
0,0.3834,0.3057
1,0.4268,0.3439
2,0.4234,0.3390
3,0.4244,0.3354
4,0.4221,0.3340
5,0.4249,0.3327
6,0.4207,0.3333
7,0.4240,0.3315
8,0.4169,0.3312
9,0.4205,0.3315
10,0.4161,0.3319
11,0.4213,0.3336
12,0.4090,0.3289
13,0.3285,0.2585
0,0.3080,0.2834
1,0.4161,0.4455
2,0.4176,0.4492
3,0.4165,0.4487
4,0.4208,0.4544
5,0.4212,0.4550
6,0.4231,0.4570
7,0.4202,0.4520
8,0.4267,0.4581
9,0.4202,0.4508
10,0.4208,0.4517
11,0.4177,0.4485
12,0.4251,0.4556
13,0.3268,0.2986
0,0.3545,0.2621
1,0.1149,0.0425
2,0.1144,0.0374
3,0.0905,0.0189
4,0.0895,0.0201
5,0.0796,0.0123
6,0.0909,0.0198
7,0.0675,-0.0010
8,0.0784,0.0082
9,0.0824,0.0125
10,0.0753,0.0053
11,0.0548,-0.0151
12,0.0886,0.0166
13,0.3734,0.3389
0,0.3196,0.2514
1,0.6221,0.4739
2,0.6477,0.4998
3,0.6590,0.5066
4,0.6520,0.5031
5,0.6715,0.5178
6,0.6683,0.5186
7,0.6814,0.5250
8,0.6874,0.5323
9,0.6995,0.5376
10,0.6821,0.5282
11,0.6893,0.5341
12,0.7007,0.5524
